num_functions,num_loops,has_if,has_return,has_recursion,while_true,syntax_error,lines_of_code,avg_line_length,time_idle,edits_last_30s,cyclomatic_est,max_nesting_depth,num_recursion_calls,num_try,label_syntax_error,label_missing_base_case,label_infinite_loop,label_logic_error,label_idle_stuck
1,1,1,1,0,0,0,9,19.113310681656802,5,5,2,3,0,0,0,0,0,0,0
0,0,0,0,0,0,1,1,10.155298499148087,5,1,1,1,0,0,1,0,0,0,0
1,0,0,1,1,0,0,5,18.254261435854268,9,0,1,6,3,0,0,1,0,1,0
0,1,0,0,0,1,0,2,15.367470377631678,8,3,4,3,0,0,0,0,1,0,0
1,1,1,1,0,0,0,7,21.763524976325574,3,3,4,5,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0.0,39,0,1,0,0,0,0,0,0,0,1
1,1,1,1,0,0,0,6,19.554794998117817,2,3,2,5,0,0,0,0,0,0,0
0,0,0,0,0,0,1,1,7.512855663392399,3,3,1,1,0,0,1,0,0,0,0
1,0,0,1,1,0,0,4,24.45702618619504,19,1,3,2,2,0,0,1,0,1,0
0,1,0,0,0,1,0,2,15.312243787639362,8,3,3,3,0,0,0,0,1,0,0
1,1,1,1,0,0,0,5,25.63657468971939,1,4,5,2,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0.0,32,0,1,0,0,0,0,0,0,0,1
1,1,1,1,0,0,0,10,19.010014294097292,2,6,4,4,0,0,0,0,0,0,0
0,0,0,0,0,0,1,1,7.591266769818178,2,3,1,1,0,0,1,0,0,0,0
1,0,0,1,1,0,0,4,23.61456250766841,18,2,1,6,3,0,0,1,0,1,0
0,1,0,0,0,1,0,2,15.204839262178247,4,1,3,2,0,0,0,0,1,0,0
1,1,1,1,0,0,0,6,27.916186805092764,2,5,3,3,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0.0,20,0,1,0,0,0,0,0,0,0,1
1,1,1,1,0,0,0,10,21.154530480590818,2,3,2,4,0,0,0,0,0,0,0
0,0,0,0,0,0,1,1,9.588070657064161,4,3,1,1,0,0,1,0,0,0,0
1,0,0,1,1,0,0,5,19.142972723536502,10,0,3,6,3,0,0,1,0,1,0
0,1,0,0,0,1,0,3,16.482082869913548,6,3,3,2,0,0,0,0,1,0,0
1,1,1,1,0,0,0,5,27.97860622391329,2,7,6,2,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0.0,21,0,1,0,0,0,0,0,0,0,1
1,1,1,1,0,0,0,10,19.096491303506593,5,4,4,5,0,0,0,0,0,0,0
0,0,0,0,0,0,1,3,5.4446939430637,4,3,1,1,0,0,1,0,0,0,0
1,0,0,1,1,0,0,5,22.232914760793097,16,0,3,2,3,0,0,1,0,1,0
0,1,0,0,0,1,0,4,16.50526679754966,8,2,2,2,0,0,0,0,1,0,0
1,1,1,1,0,0,0,7,21.265262034757356,1,5,4,2,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0.0,58,0,1,0,0,0,0,0,0,0,1
1,1,1,1,0,0,0,6,26.41669348172467,4,7,2,3,0,0,0,0,0,0,0
0,0,0,0,0,0,1,2,10.337575600526058,5,3,1,1,0,0,1,0,0,0,0
1,0,0,1,1,0,0,2,22.791556675681832,15,0,1,4,2,0,0,1,0,1,0
0,1,0,0,0,1,0,2,12.347550998965126,7,1,2,3,0,0,0,0,1,0,0
1,1,1,1,0,0,0,7,26.528186027360707,2,4,6,3,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0.0,34,0,1,0,0,0,0,0,0,0,1
1,1,1,1,0,0,0,8,26.724330410852573,3,4,4,3,0,0,0,0,0,0,0
0,0,0,0,0,0,1,3,7.182014039106265,3,2,1,1,0,0,1,0,0,0,0
1,0,0,1,1,0,0,5,18.968033566946126,11,0,2,2,3,0,0,1,0,1,0
0,1,0,0,0,1,0,4,13.380688395579462,4,1,2,3,0,0,0,0,1,0,0
1,1,1,1,0,0,0,4,21.831534270489236,1,5,3,3,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0.0,35,0,1,0,0,0,0,0,0,0,1
1,1,1,1,0,0,0,9,22.854144991504906,4,4,4,5,0,0,0,0,0,0,0
0,0,0,0,0,0,1,1,10.492335970035274,4,1,1,1,0,0,1,0,0,0,0
1,0,0,1,1,0,0,2,18.775446513830587,14,1,2,5,2,0,0,1,0,1,0
0,1,0,0,0,1,0,4,12.325027123393022,8,3,2,1,0,0,0,0,1,0,0
1,1,1,1,0,0,0,7,25.82570870752946,1,4,4,3,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0.0,52,0,1,0,0,0,0,0,0,0,1
1,1,1,1,0,0,0,7,19.401822970947745,1,5,3,3,0,0,0,0,0,0,0
0,0,0,0,0,0,1,1,8.101915215374198,5,1,1,1,0,0,1,0,0,0,0
1,0,0,1,1,0,0,2,23.217159151988177,16,0,1,3,1,0,0,1,0,1,0
0,1,0,0,0,1,0,3,14.91384675270431,4,2,2,1,0,0,0,0,1,0,0
1,1,1,1,0,0,0,7,20.01724302681141,4,5,6,4,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0.0,45,0,1,0,0,0,0,0,0,0,1
1,1,1,1,0,0,0,9,27.57317640859673,4,8,4,5,0,0,0,0,0,0,0
0,0,0,0,0,0,1,1,6.3292850708734605,2,1,1,1,0,0,1,0,0,0,0
1,0,0,1,1,0,0,2,23.983804483032515,8,0,3,5,3,0,0,1,0,1,0
0,1,0,0,0,1,0,4,12.9445963676369,7,1,2,1,0,0,0,0,1,0,0
1,1,1,1,0,0,0,8,20.54368690700606,2,6,3,3,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0.0,55,0,1,0,0,0,0,0,0,0,1
1,1,1,1,0,0,0,8,18.397416622890645,0,6,4,4,0,0,0,0,0,0,0
0,0,0,0,0,0,1,2,6.429814395964755,3,1,1,1,0,0,1,0,0,0,0
1,0,0,1,1,0,0,4,21.166286774330036,18,2,2,5,2,0,0,1,0,1,0
0,1,0,0,0,1,0,2,12.055892741305478,7,3,2,1,0,0,0,0,1,0,0
1,1,1,1,0,0,0,8,21.705234498136324,3,4,5,2,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0.0,33,0,1,0,0,0,0,0,0,0,1
1,1,1,1,0,0,0,6,20.84987391216657,3,7,4,4,0,0,0,0,0,0,0
0,0,0,0,0,0,1,3,11.886973171760376,5,1,1,1,0,0,1,0,0,0,0
1,0,0,1,1,0,0,4,25.45404831548862,9,0,2,2,1,0,0,1,0,1,0
0,1,0,0,0,1,0,4,15.319341845308895,5,2,4,1,0,0,0,0,1,0,0
1,1,1,1,0,0,0,6,21.628778498619624,3,7,6,4,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0.0,21,0,1,0,0,0,0,0,0,0,1
1,1,1,1,0,0,0,4,24.342844473091944,2,3,2,4,0,0,0,0,0,0,0
0,0,0,0,0,0,1,1,9.459793641109657,3,1,1,1,0,0,1,0,0,0,0
1,0,0,1,1,0,0,5,22.41344336901113,14,2,1,2,1,0,0,1,0,1,0
0,1,0,0,0,1,0,4,17.42357142935936,7,1,3,3,0,0,0,0,1,0,0
1,1,1,1,0,0,0,8,21.18475028453986,2,3,5,4,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0.0,20,0,1,0,0,0,0,0,0,0,1
